"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"CHAMAN LAL SETIA EXPORTS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/CLSEL_09092024164209_BRSR202324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240749_09092024044220_WEB.xml","09-Sep-2024","-"
"Nagarjuna Fertilizers and Chemicals Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/NAGAFERT_09092024160635_Disclosure.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240711_09092024041428_WEB.xml","09-Sep-2024","-"
"GENSOL ENGINEERING LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/GENSOL_09092024114529_GELBRSRReport202324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240551_09092024114553_WEB.xml","09-Sep-2024","-"
"Jindal Poly Films Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/JINDALPOLY_08092024224224_JPFL_BRSR_2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240518_08092024104312_WEB.xml","08-Sep-2024","-"
"PC Jeweller Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PCJEWELLER_08092024185533_BRSR2324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240511_08092024065607_WEB.xml","08-Sep-2024","-"
"APEX FROZEN FOODS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/APEX_08092024163022_brsr.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240498_08092024043041_WEB.xml","08-Sep-2024","-"
"Salasar Techno Engineering Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SALASAR_08092024143613_Salasar_BRSR_Report.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240497_08092024023749_WEB.xml","08-Sep-2024","-"
"NAZARA TECHNOLOGIES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/NAZARA_08092024125650_BRSR202324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240495_08092024125734_WEB.xml","08-Sep-2024","-"
"Sunteck Realty Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SUNTECK_08092024021822_SRLBRSRsigned.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240484_08092024022105_WEB.xml","08-Sep-2024","-"
"KDDL Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/KDDL_07092024232256_SEBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240474_07092024112331_WEB.xml","07-Sep-2024","-"
"Jaiprakash Associates Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/JPASSOCIAT_07092024231728_BRSR_2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240471_07092024111742_WEB.xml","07-Sep-2024","-"
"Shakti Pumps (India) Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SHAKTIPUMP_07092024224743_IntimationofSubmissionofBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240463_07092024104828_WEB.xml","07-Sep-2024","-"
"3I Infotech Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/3IINFOTECHLTD_07092024211558_AR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240451_07092024091739_WEB.xml","07-Sep-2024","-"
"Anupam Rasayan India Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ANURAS_07092024184859_ARILSLDSTX20240907038BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240393_07092024065611_WEB.xml","07-Sep-2024","-"
"RATTANINDIA POWER LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/RTNPOWER_07092024183155_RPLBRSR07092024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240370_07092024063226_WEB.xml","07-Sep-2024","-"
"Prestige Estates Projects Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PRESTIGE_07092024182300_Intimation_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240364_07092024062626_WEB.xml","07-Sep-2024","-"
"RATTANINDIA ENTERPRISES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/RTNINDIA_07092024181142_BRSRSTX24.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240356_07092024061347_WEB.xml","07-Sep-2024","-"
"Optiemus Infracom Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/OPTIEMUS_07092024170407_OILBRSR07092024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240323_07092024050420_WEB.xml","07-Sep-2024","-"
"ZOTA HEALTH CARE LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/ZOTA_07092024165929_ZotaBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240322_07092024045945_WEB.xml","07-Sep-2024","-"
"Syncom Formulations (India) Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SFILFINANCE123_07092024162924_BRSRUPLOAD20232024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240307_07092024042936_WEB.xml","07-Sep-2024","-"
"Satia Industries Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SATIA_07092024150627_BRSRwithSustainabilityReport.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240270_07092024030803_WEB.xml","07-Sep-2024","-"
"Cochin Shipyard Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/Aswi4739_07092024145150_SE_Intimation_BRSR_2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240267_07092024025205_WEB.xml","07-Sep-2024","-"
"Apeejay Surrendra Park Hotels Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ASPHL_07092024135709_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240239_07092024015900_WEB.xml","07-Sep-2024","-"
